id,abusive,offensive_aggregated,target_aggregated,abusive_offensive_not,offense_a1,offense_a2,offense_a3,offense_a4,target_a1,target_a2,target_a3,target_a4
1266329812752269312,NOT,IMPLICIT,INDIVIDUAL,OFFENSIVE,IMPLICIT,NOT,IMPLICIT,IMPLICIT,INDIVIDUAL,NOT,INDIVIDUAL,INDIVIDUAL
1002609773815136256,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002599755946647552,NOT,NOT,,NOT,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,OTHER
1267486001737478145,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1123494334702280706,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002598888426045441,NOT,NOT,,NOT,IMPLICIT,NOT,NOT,NOT,OTHER,NOT,NOT,NOT
1267073098647572485,NOT,NOT,,NOT,IMPLICIT,NOT,NOT,NOT,OTHER,NOT,NOT,NOT
1123496265923399680,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1268137708586766336,NOT,IMPLICIT,INDIVIDUAL,OFFENSIVE,NOT,IMPLICIT,IMPLICIT,NOT,NOT,GROUP,INDIVIDUAL,NOT
1266977436085948416,NOT,EXPLICIT,GROUP,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,GROUP,GROUP,OTHER,GROUP
1266133279234719744,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123496139544834048,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
840112934890037248,NOT,NOT,,NOT,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,OTHER
1266644493236867073,NOT,NOT,,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,GROUP,NOT
1266226881684258816,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266486758130270208,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002608114494042113,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
839007720430845952,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266379374753767425,NOT,EXPLICIT,INDIVIDUAL,OFFENSIVE,NOT,EXPLICIT,EXPLICIT,EXPLICIT,NOT,NOT,INDIVIDUAL,INDIVIDUAL
1266378880266330112,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266413121494757378,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
839006509782691840,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266296415921139713,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266433158897074180,IMPLICIT,EXPLICIT,GROUP,ABUSIVE,IMPLICIT,IMPLICIT,EXPLICIT,EXPLICIT,GROUP,OTHER,GROUP,INDIVIDUAL
1002602379290791937,NOT,NOT,,NOT,NOT,NOT,NOT,EXPLICIT,NOT,NOT,NOT,NOT
666226986478493696,EXPLICIT,EXPLICIT,GROUP,ABUSIVE,,,,,,,,
841339855749672961,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002606229770948608,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266246403518377984,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1267038098589917185,NOT,NOT,,NOT,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,GROUP
1266332783586283520,NOT,IMPLICIT,GROUP,OFFENSIVE,IMPLICIT,IMPLICIT,NOT,EXPLICIT,GROUP,INDIVIDUAL,NOT,GROUP
667074222368407552,IMPLICIT,IMPLICIT,GROUP,ABUSIVE,,,,,,,,
1002610182587912194,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002610110630383616,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123483642221740032,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
839001993234509824,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,NOT,IMPLICIT,IMPLICIT,IMPLICIT,NOT,INDIVIDUAL,INDIVIDUAL,INDIVIDUAL
1002600559541616640,NOT,IMPLICIT,GROUP,OFFENSIVE,EXPLICIT,IMPLICIT,IMPLICIT,IMPLICIT,GROUP,OTHER,INDIVIDUAL,GROUP
1123489620027744256,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123485435169255424,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
664703033239040000,NOT,NOT,,NOT,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,NOT
1266187344450912256,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1268151167172960258,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266417290121285634,NOT,NOT,,NOT,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,GROUP
1266168381243301888,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002555624171827200,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266237846160998400,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266156205484969984,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002601557182042115,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266291613606658049,IMPLICIT,IMPLICIT,OTHER,ABUSIVE,,,,,,,,
1266310215932223491,NOT,IMPLICIT,INDIVIDUAL,OFFENSIVE,NOT,NOT,IMPLICIT,IMPLICIT,NOT,NOT,INDIVIDUAL,INDIVIDUAL
1266492538371944448,NOT,EXPLICIT,OTHER,OFFENSIVE,EXPLICIT,IMPLICIT,EXPLICIT,NOT,OTHER,GROUP,OTHER,NOT
1002595644761149440,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123485869879496704,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266238151820902400,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002599047767756800,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266299783884369928,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123483963979444226,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1267809836487458816,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1002605213436514306,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123490314277347333,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1268433280338145281,NOT,EXPLICIT,GROUP,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,GROUP,GROUP,GROUP,GROUP
1267841610093662209,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266172091138801664,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123487350854696962,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
839008400499433472,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002596668267737088,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266485599827038212,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
664661337935446016,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266683015490658305,NOT,EXPLICIT,OTHER,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,OTHER,GROUP,NOT,OTHER
1267433182695239680,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002599723516039168,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1073963410101026817,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1267768340757598208,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1002598753763766272,NOT,NOT,,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,GROUP,NOT
668063244028874752,EXPLICIT,EXPLICIT,GROUP,ABUSIVE,,,,,,,,
1266492647159607296,NOT,EXPLICIT,NOT,OFFENSIVE,EXPLICIT,NOT,EXPLICIT,EXPLICIT,GROUP,NOT,NOT,NOT
1267572894114238465,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
666255275695988736,NOT,NOT,,NOT,NOT,NOT,NOT,EXPLICIT,NOT,NOT,NOT,NOT
838922725653626880,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123491777913270278,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
838893688365416448,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266336895614832645,NOT,IMPLICIT,OTHER,OFFENSIVE,NOT,NOT,IMPLICIT,IMPLICIT,NOT,NOT,OTHER,OTHER
1123492677012611077,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
839563313898000387,NOT,EXPLICIT,NOT,OFFENSIVE,EXPLICIT,EXPLICIT,NOT,EXPLICIT,NOT,NOT,NOT,NOT
1267557749862404096,NOT,EXPLICIT,NOT,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,NOT,NOT,OTHER,NOT
838888010938724352,NOT,NOT,,NOT,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,NOT
1266313735536246784,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266677447652712450,NOT,IMPLICIT,GROUP,OFFENSIVE,IMPLICIT,NOT,IMPLICIT,IMPLICIT,INDIVIDUAL,NOT,INDIVIDUAL,GROUP
838892588576948224,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
838899755229011968,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
664627944388608000,NOT,EXPLICIT,INDIVIDUAL,OFFENSIVE,EXPLICIT,NOT,EXPLICIT,NOT,NOT,NOT,NOT,NOT
1123490118822764551,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266680782917193728,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266500062961696770,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1267458420346630144,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1002603295591067648,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123483892638527488,NOT,EXPLICIT,GROUP,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,GROUP,GROUP,GROUP,GROUP
664683433390505984,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
838888581523460096,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266240423921504256,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123490632188801030,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1269226385974931456,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266246551170514944,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
839007746468958208,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1074220100675428352,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002610350909546497,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1076658672682569729,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266374653531975680,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
665612831480500224,NOT,IMPLICIT,GROUP,OFFENSIVE,IMPLICIT,NOT,IMPLICIT,NOT,INDIVIDUAL,NOT,OTHER,NOT
1002608512126636033,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266182101042429952,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123495589860261889,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266374891554484226,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,NOT,NOT,IMPLICIT,IMPLICIT,NOT,NOT,NOT,INDIVIDUAL
1123485068431900673,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
665877211895984128,NOT,EXPLICIT,OTHER,OFFENSIVE,EXPLICIT,NOT,NOT,IMPLICIT,OTHER,NOT,NOT,OTHER
1267572013209657349,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266235676145545216,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002598552676241416,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1268151113821323269,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266244127068311552,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002595691045191681,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266143737408864256,NOT,IMPLICIT,OTHER,OFFENSIVE,NOT,NOT,EXPLICIT,IMPLICIT,NOT,NOT,OTHER,OTHER
839216531208830977,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002608629227442176,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266247184367775745,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266185561800409088,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266147822635802625,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
665318378643390464,NOT,EXPLICIT,INDIVIDUAL,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,INDIVIDUAL,INDIVIDUAL,INDIVIDUAL,NOT
1123486200281612289,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123482284265476097,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
838892897353224192,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
667766964329279488,NOT,EXPLICIT,OTHER,OFFENSIVE,EXPLICIT,NOT,EXPLICIT,NOT,NOT,NOT,GROUP,NOT
839772691049639936,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002610647694274561,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
840618937008152576,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
664708765619499008,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123483711327080450,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1076591773907075072,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002600642496606208,NOT,NOT,,NOT,NOT,NOT,IMPLICIT,IMPLICIT,NOT,NOT,OTHER,OTHER
838891503271428096,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002606682864791553,NOT,NOT,,NOT,NOT,NOT,IMPLICIT,IMPLICIT,NOT,NOT,OTHER,OTHER
1266359128127086593,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266334777159880704,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1267442717891735555,IMPLICIT,IMPLICIT,GROUP,ABUSIVE,,,,,,,,
667096841520087041,IMPLICIT,IMPLICIT,GROUP,ABUSIVE,,,,,,,,
1266139738874023936,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1267241923783397376,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
666540987901169664,NOT,EXPLICIT,NOT,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,INDIVIDUAL,NOT,NOT,NOT
1267153147207856128,NOT,NOT,,NOT,IMPLICIT,NOT,NOT,NOT,GROUP,NOT,NOT,NOT
1002603524600090624,NOT,EXPLICIT,NOT,OFFENSIVE,EXPLICIT,EXPLICIT,EXPLICIT,EXPLICIT,NOT,OTHER,INDIVIDUAL,NOT
1064283004972032000,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
838993150630752256,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1123482655658577920,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002607378360164352,EXPLICIT,EXPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
1266494362629931024,NOT,EXPLICIT,INDIVIDUAL,OFFENSIVE,EXPLICIT,NOT,EXPLICIT,EXPLICIT,INDIVIDUAL,NOT,INDIVIDUAL,INDIVIDUAL
1123486086066577409,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002601334573621249,NOT,NOT,,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,OTHER,NOT
839004527659470848,NOT,IMPLICIT,INDIVIDUAL,OFFENSIVE,NOT,NOT,IMPLICIT,IMPLICIT,NOT,NOT,INDIVIDUAL,INDIVIDUAL
1266199892877283328,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1064260543173861376,NOT,NOT,,NOT,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,OTHER
1266421847035387908,NOT,IMPLICIT,INDIVIDUAL,OFFENSIVE,NOT,NOT,IMPLICIT,IMPLICIT,NOT,NOT,INDIVIDUAL,INDIVIDUAL
1123486936814034949,NOT,NOT,,NOT,NOT,NOT,IMPLICIT,NOT,NOT,NOT,OTHER,NOT
1266707713851035649,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123484406327463937,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266300827741745161,NOT,IMPLICIT,INDIVIDUAL,OFFENSIVE,IMPLICIT,NOT,IMPLICIT,IMPLICIT,INDIVIDUAL,NOT,INDIVIDUAL,INDIVIDUAL
1266258914275848196,NOT,IMPLICIT,NOT,OFFENSIVE,IMPLICIT,NOT,EXPLICIT,IMPLICIT,INDIVIDUAL,NOT,NOT,NOT
1123488979754598400,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002605693638234115,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1123484436065075201,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002599578645028865,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266239972740218880,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266837803079516161,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1002596042339176449,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
839002305160691712,NOT,NOT,,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT,NOT
1266269884989636608,IMPLICIT,IMPLICIT,INDIVIDUAL,ABUSIVE,,,,,,,,
